id,phrase,polarityn,polarity,partofspeech,subjecttype,stemmed,polaritytype,personality,source
29327,preferable,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29328,preference,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29329,preferences,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29330,preferences,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29331,prejudice,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29332,prejudice,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29333,prejudicial,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29334,premeditated,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29335,premier,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29336,premium,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29337,prepared,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29338,preponderance,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29339,preponderance,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29340,preposterous,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29341,preposterously,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29342,pressing,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29343,pressing,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29344,pressure,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
29345,pressure,0,neutral,noun,weaksubj,False,priorpolarity,No,mpqa
29346,pressures,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
29347,pressures,0,neutral,noun,weaksubj,False,priorpolarity,No,mpqa
29348,prestige,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29349,prestigious,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29350,presumptuous,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29351,presumptuously,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29352,pretence,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29353,pretence,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29354,pretend,-1,negative,verb,strongsubj,False,priorpolarity,No,mpqa
29355,pretense,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29356,pretense,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29357,pretentious,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29358,pretentiously,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29359,prettily,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
29360,pretty,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
29361,prevalent,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
29362,priceless,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29363,pricey,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29364,prickles,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29365,prickles,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29366,pride,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29367,prideful,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29368,primarily,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
29369,primary,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
29370,prime,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
29371,primitive,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29372,primitive,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
29373,principle,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29374,principle,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29375,principled,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29376,prison,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
29377,prisoner,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
29378,privilege,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29379,privileged,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29380,pro,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29381,pro-American,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29382,pro-American,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29383,pro-Beijing,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29384,pro-Beijing,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29385,pro-Cuba,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29386,pro-Cuba,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29387,pro-peace,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29388,pro-peace,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29389,proactive,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29390,proactive,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29391,problem,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
29392,problematic,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29393,problematic,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29394,problems,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29395,problems,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
29396,procrastination,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29397,prodigious,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29398,prodigiously,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
29399,prodigy,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29400,productive,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29401,profane,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29402,profanity,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29403,proficient,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29404,proficiently,1,positive,adverb,strongsubj,False,priorpolarity,No,mpqa
29405,profit,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29406,profitable,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29407,profound,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29408,profoundly,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
29409,profuse,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29410,profusely,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
29411,profusion,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29412,progress,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29413,progressive,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29414,prohibitive,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29415,prohibitively,-1,negative,adverb,weaksubj,False,priorpolarity,No,mpqa
29416,prolific,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29417,prominent,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29418,prominence,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29419,promise,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29420,promise,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29421,promising,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29422,promoter,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29423,promoter,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29424,prompt,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29425,promptly,1,positive,adverb,weaksubj,False,priorpolarity,No,mpqa
29426,propaganda,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29427,propaganda,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29428,proper,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29429,properly,1,positive,adverb,weaksubj,False,priorpolarity,No,mpqa
29430,propitious,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29431,propitiously,1,positive,adverb,strongsubj,False,priorpolarity,No,mpqa
29432,proportionate,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
29433,proportionate,0,neutral,noun,weaksubj,False,priorpolarity,No,mpqa
29434,proportionately,0,neutral,adverb,weaksubj,False,priorpolarity,No,mpqa
29435,proscription,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29436,proscription,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29437,proscriptions,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29438,proscriptions,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29439,prospect,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29440,prospect,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29441,prospects,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29442,prospects,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29443,prosperity,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29444,prosperity,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29445,prosperous,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29446,protection,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29447,protective,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29448,protector,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29449,protector,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29450,protest,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29451,protest,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29452,protests,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29453,protests,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
29454,protracted,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29455,proud,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29456,providence,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29457,provocation,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29458,provocation,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29459,provocative,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
